Trait1	Trait2	Trait3	Trait4	Trait5	Trait6	Trait7	Trait8	Trait9	Trait10	Trait11	Trait12	Trait13	Trait14	Trait15	Trait16	Trait17	Trait18	Trait19	Trait20	Trait21	Trait22	Trait23	Trait24	Trait25	Trait26	Trait27	Trait28	Trait29	Trait30	Trait31	Trait32	Trait33	Trait34	Trait35	Trait36	Trait37	Trait38	Trait39	Trait40	Trait41	Trait42	Trait43	Trait44	Trait45	Trait46	Trait47	Trait48	Trait49	Trait50	Trait51	Trait52	Trait53	Trait54	Trait55	Trait56	Trait57	Trait58	Trait59	Trait60	Trait61	Trait62	Trait63	Trait64	Trait65	Trait66	Trait67	Trait68	Trait69	Trait70	Trait71	Trait72	Trait73	Trait74	Trait75	Trait76	Trait77	Trait78	Trait79	Trait80	Trait81	Trait82	Trait83	Trait84	Trait85	Trait86	Trait87	Trait88	Trait89	Trait90	Trait91	Trait92	Trait93	Trait94	Trait95	Trait96	Trait97	Trait98	Trait99	Trait100	Trait101	Trait102	Trait103	Trait104	Trait105	Trait106	Trait107	Trait108
Y70	0.0815	0.005	0.0325	0.0008396	3	0.008666667	6.335e-05	12	0.001916667	3.26908e-06	0.0735	0.004	0.028	0.0006348	3	0.007166667	3.84933e-05	13	0.002153846	4.05331e-06	0.0835	0.006	0.031	0.0007759	4	0.006875	4.1965e-05	13	0.002307692	3.56562e-06	0.028	0.0003717	0.009	6.37e-05	1	0.003	8.558e-06	3	0.002	1.43e-06	0.028	0.0006283	0.009	6.37e-05	2	0.0025	5.277e-06	5	0.00097704	1.26834e-06	0.0245	0.0004707	0.009	6.736e-05	1	0.003	6.751e-06	6	0.000898017	7.89317e-07	0.108	0.009	0.055	0.002	9	0.006777778	4.38889e-05	24	0.001625	3.29342e-06	0.1035	0.008	0.004714286	0.002	10	0.00715	4.2007e-05	24	0.001875	3.49388e-06	0.094	0.007	0.044	0.001	8	0.0068125	3.70838e-05	25	0.001375	2.18425e-06	490	416040	455	336520	525	522410	190	30800	190	56460	155	40334	530	7e+05	987.8571429	6e+05	500	6e+05
Y71	0.072	0.004	0.0355	0.001	4	0.008125	5.168e-05	13	0.002	3.34338e-06	0.0875	0.006	0.043	0.001	7	0.006142857	3.219e-05	16	0.00225	4.073e-06	0.0855	0.006	0.0435	0.002	8	0.0078125	4.7315e-05	22	0.001590909	2.07573e-06	0.0375	0.001	0.0165	0.0165	1	0.007	3.417e-05	7	0.001142857	1.62786e-06	0.034	0.0009934	0.0155	0.000187	3	0.003333333	9.64267e-06	8	0.001125	1.45513e-06	0.04	0.001	0.013	0.0001426	1	0.0055	2.274e-05	7	0.000984586	1.30184e-06	0.0375	0.001	0.0165	0.0002142	9	0.007611111	4.33189e-05	28	0.001033564	1.56636e-06	0.1005	0.008	0.004714286	0.002	9	0.007777778	4.62389e-05	24	0.0015	2.73467e-06	0.0985	0.007	0.0525	0.002	9	0.008333333	5.52056e-05	24	0.001857143	2.78321e-06	365	3e+05	445	5e+05	420	4e+05	210	83500	185	80640	270	85740	210	78580	957.8571429	6e+05	460	5e+05
Y72	0.0775	0.005	0.0295	0.0007089	4	0.007875	4.93425e-05	13	0.001846154	2.42354e-06	0.077	0.005	0.03	0.0007762	4	0.007375	4.1495e-05	13	0.002076923	3.94177e-06	0.0715	0.004	0.028	0.0006288	6	0.00625	3.06583e-05	11	0.001909091	2.60982e-06	0.038	0.001	0.0135	0.0001476	2	0.004	1.3705e-05	7	0.000994	1.01461e-06	0.041	0.001	0.015	0.0001853	2	0.004	1.3375e-05	7	0.001142857	1.59127e-06	0.04	0.001	0.014	0.0001685	2	0.0055	2.1255e-05	7	0.001242386	1.27264e-06	0.083	0.006	0.033	0.000866	5	0.008	4.9622e-05	14	0.001857143	2.84064e-06	0.077	0.005	0.00247619	0.0005414	2	0.0075	4.628e-05	10	0.002	3.011e-06	0.0835	0.005	0.032	0.0008425	5	0.008	4.9906e-05	14	0.002	3.43447e-06	480	429110	470	422380	435	337120	245	85240	260	81470	260	83150	500	513400	745.2380952	445860	515	415750
Y73	0.084	0.006	0.0335	0.0008697	4	0.0085	5.91575e-05	16	0.002	3.19244e-06	0.08	0.005	0.032	0.0008227	4	0.005875	2.62025e-05	16	0.0021875	3.50844e-06	0.0775	0.005	0.0315	0.0007895	4	0.008	5.39275e-05	16	0.002375	4.09288e-06	0.037	0.001	0.013	0.0001412	3	0.004	1.283e-05	10	0.00094134	8.6795e-07	0.035	0.0009529	0.0115	0.0001234	3	0.003333333	8.19867e-06	8	0.000954563	8.87675e-07	0.035	0.000986	0.013	0.000137	3	0.004	1.342e-05	8	0.0009814	9.01075e-07	0.075	0.004	0.034	0.0008995	7	0.006642857	3.87443e-05	18	0.001833333	2.85583e-06	0.081	0.005	0.003142857	0.0008634	5	0.0073	4.2212e-05	17	0.002235294	3.54318e-06	0.076	0.004	0.031	0.0007541	4	0.007375	4.50225e-05	15	0.001464286	2.05386e-06	505	513030	480	417730	460	421050	240	85880	235	82950	220	84900	410	310050	778.5714286	413660	450	324590
Y74	0.102	0.008	0.0425	0.001	5	0.0103	8.3158e-05	14	0.002357143	5.23607e-06	0.086	0.006	0.0385	0.001	5	0.0084	5.4616e-05	14	0.002214286	4.57907e-06	0.1105	0.009	0.0435	0.001	5	0.0099	7.987e-05	13	0.002461538	4.91485e-06	0.063	0.003	0.028	0.0006085	4	0.0075	4.2105e-05	9	0.002	3.12733e-06	0.0575	0.003	0.025	0.0004743	3	0.006666667	3.57733e-05	11	0.001818182	2.41218e-06	0.074	0.004	0.0275	0.0005923	3	0.008166667	5.19567e-05	10	0.002	3.3204e-06	0.1055	0.008	0.059	0.003	10	0.00895	0.001272808	26	0.001653846	2.80081e-06	0.098	0.008	0.005	0.002	9	0.005944444	3.31078e-05	25	0.00188	4.58012e-06	0.1265	0.01	0.059	0.003	10	0.00925	6.9057e-05	28	0.001933333	2.43987e-06	595	7e+05	475	5e+05	670	8e+05	350	239150	325	252570	465	340770	465	5e+05	930	6e+05	675	7e+05
Y76	0.083	0.005	0.0315	0.000793	5	0.0066	3.435e-05	12	0.001916667	3.21125e-06	0.077	0.005	0.03	0.0006962	4	0.006	2.84375e-05	13	0.001923077	3.12462e-06	0.08	0.005	0.03	0.0007041	5	0.0071	4.0802e-05	13	0.001923077	2.76746e-06	0.043	0.001	0.015	0.0001842	1	0.006	2.904e-05	7	0.001142857	1.87343e-06	0.0475	0.002	0.0165	0.0002146	1	0.0055	2.626e-05	8	0.001875	2.39875e-06	0.048	0.002	0.0175	0.0002361	2	0.005	2.044e-05	9	0.001440411	1.50942e-06	0.104	0.008	0.04	0.001	7	0.007142857	3.98729e-05	16	0.001875	2.77213e-06	0.101	0.008	0.003428571	0.001	6	0.007166667	4.0455e-05	16	0.0025	4.17663e-06	0.0745	0.005	0.032	0.0007909	7	0.007214286	3.90529e-05	15	0.001769231	2.71508e-06	515	420700	470	430380	500	429590	280	81580	310	178540	305	176390	640	7e+05	975.7142857	7e+05	425	420910
Y77	0.0735	0.005	0.0335	0.0008555	4	0.009625	7.19225e-05	12	0.001916667	2.93825e-06	0.0775	0.005	0.0315	0.0008278	4	0.008625	6.2865e-05	12	0.001916667	3.13925e-06	0.0805	0.005	0.033	0.0008427	4	0.00925	6.87375e-05	13	0.001923077	2.67285e-06	0.041	0.001	0.019	0.0003044	3	0.005666667	2.499e-05	11	0.001262836	1.25611e-06	0.0395	0.001	0.0155	0.0001939	2	0.005	2.081e-05	9	0.001	1.33091e-06	0.039	0.001	0.0205	0.000306	2	0.0065	3.168e-05	11	0.001454545	1.92236e-06	0.072	0.004	0.03	0.0006993	2	0.0095	7.4525e-05	13	0.001920346	2.71592e-06	0.0645	0.004	0.002904762	0.0007567	4	0.00625	3.84625e-05	18	0.001666667	2.369e-06	0.0755	0.005	0.0285	0.000697	3	0.0095	7.198e-05	13	0.001444444	1.99833e-06	400	414450	460	417220	475	415730	220	69560	240	80610	185	69400	420	330070	615.952381	324330	470	430300
Y78	0.071	0.004	0.027	0.0005999	5	0.0055	2.3759e-05	13	0.001538462	2.01785e-06	0.061	0.003	0.025	0.000517	4	0.004125	1.29025e-05	14	0.000816929	6.40029e-07	0.0645	0.003	0.026	0.0005338	4	0.006375	3.599e-05	10	0.0022	3.9224e-06	0.029	0.0006859	0.0095	7.198e-05	2	0.0025	5.4795e-06	6	0.000896967	6.62233e-07	0.0265	0.0005588	0.0085	6.827e-05	1	0.003	6.555e-06	6	0.000851183	7.79067e-07	0.027	0.0006396	0.009	7.139e-05	1	0.004	1.264e-05	6	0.000924533	7.0605e-07	0.082	0.005	0.0375	0.001	8	0.006125	3.10613e-05	18	0.001309711	1.63681e-06	0.094	0.007	0.004095238	0.001	7	0.007428571	4.54829e-05	19	0.001526316	1.75628e-06	0.076	0.005	0.035	0.00098	7	0.006928571	3.94357e-05	18	0.001531536	1.84785e-06	440	340010	360	248300	385	246620	195	61392	180	49053	180	56821	445	4e+05	899.047619	6e+05	410	402000
Y79	0.094	0.007	0.0325	0.0008179	4	0.007125	4.00175e-05	13	0.001765746	1.95957e-06	0.08	0.005	0.028	0.0006088	4	0.006	2.95525e-05	12	0.0015	1.50793e-06	0.0885	0.006	0.032	0.0008457	4	0.007625	4.469e-05	12	0.002583333	4.43625e-06	0.0465	0.002	0.0145	0.0001816	2	0.00425	1.4145e-05	8	0.001485713	1.38941e-06	0.036	0.001	0.0115	0.0001137	2	0.003	8.501e-06	7	0.000976429	1.1383e-06	0.0405	0.001	0.015	0.0001769	1	0.005	2.081e-05	8	0.001875	2.13888e-06	0.096	0.007	0.029	0.0006761	4	0.006875	3.30975e-05	11	0.001545455	2.07999e-06	0.0615	0.003	0.002190476	0.00044	3	0.006666667	4.00333e-05	10	0.002	3.19e-06	0.0715	0.004	0.023	0.0004347	4	0.005125	2.141e-05	11	0.002066667	3.2842e-06	615	618210	520	439120	565	515430	320	181840	245	88630	255	82310	670	632390	593.0952381	256000	485	356530
Y80	0.104	0.008	0.0455	0.002	8	0.0083125	6.2185e-05	14	0.002285714	4.60157e-06	0.0832843137254902	0.00566666666666667	0.0331470588235294	0.000852502941176471	4.55882352941176	0.00738356092156863	4.41366696078431e-05	13.1862745098039	0.00209868474509804	3.62189381372549e-06	0.1115	0.009	0.046	0.002	7	0.009714286	6.24629e-05	15	0.002333333	5.03387e-06	0.035	0.001	0.0125	0.0001334	3	0.004333333	1.28783e-05	7	0.001142857	1.17116e-06	0.0415	0.001	0.014	0.0001615	2	0.005	1.8185e-05	10	0.00105006	1.0248e-06	0.0315	0.0007717	0.015	0.0001767	3	0.0045	1.652e-05	11	0.001061264	1.08077e-06	0.0935	0.007	0.0395	0.001	8	0.0074375	4.59999e-05	15	0.002133333	2.88965e-06	0.102	0.008	0.004333333	0.002	9	0.007611111	4.83167e-05	17	0.002117647	5.16847e-06	0.084	0.006	0.037	0.001	7	0.007642857	4.787e-05	15	0.0018	2.16233e-06	585	6e+05	501.372549019608	481416.37254902	655	7e+05	225	86660	275	83850	165	59500	540	6e+05	976.6666667	6e+05	470	5e+05
